the_geom,BoroCode,BoroName,BoroCD,CounDist,AssemDist,StSenDist,CongDist,Furn_Code,Address,Latitude,Longitude,NTAName,FEMAFldz,FEMAFldT,HrcEvac
POINT (-73.80494861291334 40.76281172648442),4,Queens,407,19,40,11,6,QN0348AB,BETWEEN 161 ST & 160 ST,40.76282,-73.80495,Murray Hill-Broadway Flushing,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.80711661435224 40.72070273497847),4,Queens,408,24,25,14,6,QN04137AB,BETWEEN 161 ST & 160 ST,40.720711,-73.807118,Pomonok-Electchester-Hillcrest,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.80074261762876 40.708178737235215),4,Queens,412,24,32,14,5,QN04209AB,BETWEEN 161 ST & 162 ST,40.708187,-73.800744,Jamaica,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.80831961324672 40.7321207330345),4,Queens,408,24,27,16,6,QN04117AB,BETWEEN 161 ST & PARSONS BLVD,40.732129,-73.808321,Pomonok-Electchester-Hillcrest,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.8048296151721 40.721235734479194),4,Queens,408,24,25,14,6,QN0502AB,BETWEEN 162 ST & 164 ST,40.721244,-73.804831,Pomonok-Electchester-Hillcrest,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.79943161220572 40.794202720427236),4,Queens,407,19,26,11,3,QN04513AB,BETWEEN 162 ST & 166 ST,40.794211,-73.799433,Whitestone-Beechhurst,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.79720061918145 40.70443873782148),4,Queens,412,27,32,14,5,QN04075AB,BETWEEN 162 ST & GUY R BREWER,40.704447,-73.797202,Jamaica,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.80186161317116 40.77120972521707),4,Queens,407,19,40,11,6,QN04781AB,BETWEEN 163 ST & 162 ST,40.771218,-73.801863,Murray Hill-Broadway Flushing,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.92130957138848 40.82885571751784),2,Bronx,204,8,77,32,15,BX03374AB,BETWEEN 163 ST & 164 ST,40.828864,-73.921311,Concourse-Concourse Village,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.80048861310313 40.777092724143316),4,Queens,407,19,40,11,3,QN04348AB,BETWEEN 163 ST & 23 AV,40.777101,-73.80049,Bay Terrace-Clearview,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.8055576144611 40.7318347324705),4,Queens,408,24,27,16,6,QN04461AB,BETWEEN 164 ST & 161 ST,40.731843,-73.805559,Pomonok-Electchester-Hillcrest,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.80427761485862 40.738027731502605),4,Queens,408,24,25,16,6,QN04126AB,BETWEEN 164 ST & 165 ST,40.738036,-73.804279,Pomonok-Electchester-Hillcrest,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.8025986133978 40.76139172662278),4,Queens,407,19,40,16,6,QN04330AB,BETWEEN 164 ST & STATION RD,40.7614,-73.8026,Murray Hill-Broadway Flushing,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.80138161414699 40.76047572668031),4,Queens,407,19,26,16,6,QN04329AB,BETWEEN 165 ST & 164 ST,40.760484,-73.801383,Murray Hill-Broadway Flushing,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.79885561814255 40.7089437374426),4,Queens,408,24,29,14,5,QN04503AB,BETWEEN 165 ST & 164 ST,40.708952,-73.798857,Jamaica,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.80429861438233 40.73869173190242),4,Queens,407,20,25,11,6,QN04807AB,BETWEEN 165 ST & 164 ST,40.7387,-73.8043,Queensboro Hill,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.80166061417593 40.75999672703811),4,Queens,407,20,40,16,6,QN04888AB,BETWEEN 165 ST & 164 ST,40.760005,-73.801662,Murray Hill-Broadway Flushing,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.79971661445451 40.759628726796606),4,Queens,407,19,26,11,6,QN04840AB,BETWEEN 167 ST & 166 ST,40.759637,-73.799718,Murray Hill-Broadway Flushing,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.79627861914582 40.70968373662666),4,Queens,408,24,24,14,6,QN04848AB,BETWEEN 167 ST & 166 ST,40.709692,-73.79628,Jamaica Hills-Briarwood,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.7917646210023 40.70470473785315),4,Queens,412,27,29,14,5,QN04745AB,BETWEEN 167 ST & 168 ST,40.704713,-73.791766,Jamaica,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.80056161624172 40.722940734629084),4,Queens,408,24,25,14,6,QN04057AB,BETWEEN 168 ST & 167 ST,40.722949,-73.800563,Pomonok-Electchester-Hillcrest,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.79979861745363 40.72289173465614),4,Queens,408,24,25,14,6,QN04455AB,BETWEEN 168 ST & 169 ST,40.7229,-73.7998,Pomonok-Electchester-Hillcrest,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.8006386162803 40.73791173172016),4,Queens,408,24,25,16,6,QN04582AB,BETWEEN 168 ST & 169 ST,40.73792,-73.80064,Fresh Meadows-Utopia,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.79199462004284 40.70640473696772),4,Queens,412,27,29,14,5,QN04587AB,BETWEEN 168 ST & 169 ST,40.706413,-73.791996,Jamaica,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.79129862107283 40.70679173732297),4,Queens,412,27,29,11,5,QN0775AB,BETWEEN 169 ST & 168 PL,40.7068,-73.7913,Jamaica,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.89778357852889 40.82923671743983),2,Bronx,203,17,79,32,15,BX0052AB,BETWEEN 169 ST & 168 ST,40.829245,-73.897785,Morrisania,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.79792961576469 40.75897472767822),4,Queens,407,19,26,11,6,QN04328AB,BETWEEN 169 ST & 168 ST,40.758983,-73.797931,Murray Hill-Broadway Flushing,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.99859855933643 40.61499176253566),3,Brooklyn,311,43,49,22,10,BR02629AB,BETWEEN 17 AV & 16 AV,40.615,-73.9986,Bensonhurst,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.79419861546656 40.782491722735),4,Queens,407,19,26,11,3,QN04301AB,BETWEEN 17 AV & 16 AV,40.7825,-73.7942,Bay Terrace-Clearview,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.99620156096428 40.61341476278544),3,Brooklyn,311,43,49,22,10,BR0467AB,BETWEEN 17 AV & 18 AV,40.613423,-73.996203,Bensonhurst,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.79975061336255 40.78277272312744),4,Queens,407,19,26,11,3,QN04431AB,BETWEEN 17 AV & 19 AV,40.782781,-73.799752,Bay Terrace-Clearview,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.79439261483058 40.78145972292989),4,Queens,407,19,26,11,3,QN04641AB,BETWEEN 17 RD & 18 AV,40.781468,-73.794394,Bay Terrace-Clearview,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.90503357598075 40.83294971637956),2,Bronx,203,16,79,33,15,BX03055AB,BETWEEN 170 ST & 169 ST,40.832958,-73.905035,Claremont Village-Claremont (East),X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.79161562063457 40.71109073675058),4,Queens,412,27,24,11,5,QN04061AB,BETWEEN 170 ST & 171 ST,40.711099,-73.791617,Jamaica,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.7981146171306 40.7235167345159),4,Queens,408,24,24,14,5,QN04140AB,BETWEEN 170 ST & 171 ST,40.723525,-73.798116,Pomonok-Electchester-Hillcrest,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.79599861558683 40.75799172729841),4,Queens,407,19,26,11,6,QN04327AB,BETWEEN 170 ST & 171 ST,40.758,-73.796,East Flushing,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.78944062167173 40.70737073665749),4,Queens,412,27,29,14,5,QN04289AB,BETWEEN 171 ST & 170 ST,40.707379,-73.789442,Jamaica,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.78759862234436 40.70749173690765),4,Queens,412,27,29,14,5,QN04662AB,BETWEEN 172 ST & 173 ST,40.7075,-73.7876,Jamaica,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.7943986170664 40.75359172803298),4,Queens,407,19,26,11,6,QN04350AB,BETWEEN 172 ST & AUBURNDALE LN,40.7536,-73.7944,Auburndale,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.77859862516333 40.69179173948052),4,Queens,412,27,29,14,5,QN04656AB,BETWEEN 172 ST & MERRICK BD,40.6918,-73.7786,St. Albans,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.78707462230955 40.70794573724087),4,Queens,412,27,29,14,5,QN04497AB,BETWEEN 173 ST & 172 ST,40.707954,-73.787076,Jamaica,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.79008962024898 40.71187973610104),4,Queens,408,24,24,11,6,QN04648AB,BETWEEN 173 ST & 172 ST,40.711888,-73.790091,Jamaica Estates-Holliswood,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.79539861819967 40.72439173381913),4,Queens,408,24,24,14,5,QN04702AB,BETWEEN 173 ST & 174 ST,40.7244,-73.7954,Pomonok-Electchester-Hillcrest,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.88829858204396 40.83599171549236),2,Bronx,203,17,79,32,15,BX0050AB,BETWEEN 174 ST & SOUTHERN,40.836,-73.8883,Crotona Park East,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.79383461842181 40.72497173351635),4,Queens,408,24,24,14,5,QN0490AB,BETWEEN 175 ST & 176 ST,40.72498,-73.793836,Pomonok-Electchester-Hillcrest,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.92159857020293 40.8497917136677),2,Bronx,205,16,77,29,13,BX03241AB,BETWEEN 176 ST & 175 ST,40.8498,-73.9216,University Heights (South)-Morris Heights,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.77130062791444 40.692991738981945),4,Queens,412,27,29,14,5,QN04216AB,BETWEEN 178 ST & 177 PL,40.693,-73.771302,St. Albans,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.76857562859571 40.692594739050826),4,Queens,412,27,29,14,5,QN04476AB,BETWEEN 179 ST & 178 PL,40.692603,-73.768577,St. Albans,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.78940562053815 40.726624733265886),4,Queens,408,24,25,11,6,QN04354AB,BETWEEN 179 ST & SURREY PT,40.726633,-73.789407,Fresh Meadows-Utopia,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.98699856329044 40.62179176117636),3,Brooklyn,312,44,49,17,10,BR02243AB,BETWEEN 18 AV & 19 AV,40.6218,-73.987,Mapleton-Midwood (West),X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-74.00279855866724 40.60749176458511),3,Brooklyn,311,43,47,22,11,BR0472AB,BETWEEN 18 AV & BAY 17 ST,40.6075,-74.0028,Bath Beach,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-74.00629855770121 40.604091764708706),3,Brooklyn,311,43,47,22,11,BR02340AB,BETWEEN 18 AV & BAY 17 ST,40.6041,-74.0063,Bath Beach,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-74.00243755858479 40.607009764105435),3,Brooklyn,311,47,47,22,11,BR0473AB,BETWEEN 18 AV & BAY 19,40.607018,-74.002439,Bensonhurst,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.991927559511 40.662921752541386),3,Brooklyn,307,38,51,20,7,BR0337AB,BETWEEN 18 ST & 19 ST,40.66293,-73.991929,Sunset Park (West),X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.974698560513 40.72989173919882),1,Manhattan,106,4,74,27,12,MN0758AB,BETWEEN 18 ST & E 16 ST,40.7299,-73.9747,Stuyvesant Town-Peter Cooper Village,AE,,1
POINT (-73.76585362911196 40.69205173935661),4,Queens,412,27,29,14,5,QN04418AB,BETWEEN 180 ST & NEW BURG,40.69206,-73.765855,St. Albans,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.79059861914648 40.73939173098725),4,Queens,408,24,25,16,6,QN04355AB,BETWEEN 183 ST & 184 ST,40.7394,-73.7906,Fresh Meadows-Utopia,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.77491962484723 40.71466973536777),4,Queens,412,27,29,11,5,QN04493AB,BETWEEN 187 ST & 188 ST,40.714678,-73.774921,Hollis,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.78149862240062 40.729191732497114),4,Queens,408,24,25,11,6,QN04188AB,BETWEEN 188 ST & 187 ST,40.7292,-73.7815,Fresh Meadows-Utopia,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.7871986204382 40.741091730789414),4,Queens,411,20,25,16,6,QN04246AB,BETWEEN 188 ST & 187 ST,40.7411,-73.7872,Auburndale,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.78074462297133 40.72920373218982),4,Queens,408,23,24,11,5,QN0423AB,BETWEEN 188 ST & 189 ST,40.729212,-73.780746,Jamaica Estates-Holliswood,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.78610862018952 40.74067173006036),4,Queens,408,23,25,16,6,QN0459AB,BETWEEN 188 ST & 190 ST,40.74068,-73.78611,Fresh Meadows-Utopia,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.77581962342845 40.742911729316624),4,Queens,408,23,25,16,6,QN04625AB,BETWEEN 188 ST & FRANCIS LEWIS,40.74292,-73.775821,Fresh Meadows-Utopia,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.99579856075628 40.6132917627981),3,Brooklyn,311,47,49,22,10,BR02010AB,BETWEEN 19 AV & 18 AV,40.6133,-73.9958,Bensonhurst,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.79393761592513 40.7807167226845),4,Queens,407,19,26,11,3,QN04135AB,BETWEEN 19 AV & 18 AV,40.780725,-73.793939,Bay Terrace-Clearview,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.98286256232599 40.65757475399787),3,Brooklyn,307,38,44,21,9,BR02460AB,BETWEEN 19 ST & 18 ST,40.657583,-73.982864,Windsor Terrace-South Slope,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.90304457494962 40.86550670993973),2,Bronx,207,14,78,33,13,BX03238AB,BETWEEN 190 ST & 192 ST,40.865515,-73.903046,University Heights (North)-Fordham,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.897617576728 40.86232371091355),2,Bronx,205,14,86,33,15,BX0075AB,BETWEEN 190 ST & GRAND CONCOUR,40.862332,-73.897619,Fordham Heights,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.77043162743124 40.71072473600675),4,Queens,412,27,29,14,5,QN04291AB,BETWEEN 190 ST & JAMAICA AV,40.710733,-73.770433,Hollis,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.76060963096806 40.69220673918833),4,Queens,412,27,33,14,5,QN04404AB,BETWEEN 191 ST & 190 ST,40.692215,-73.760611,St. Albans,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.7897556185045 40.75794872727007),4,Queens,411,19,26,11,6,QN04789AB,BETWEEN 192 ST & 191 ST,40.757957,-73.789757,Auburndale,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.77799862342306 40.73019173213921),4,Queens,408,23,25,11,6,QN0491AB,BETWEEN 193 ST & 192 ST,40.7302,-73.778,Fresh Meadows-Utopia,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.77722562384523 40.73016073219304),4,Queens,408,23,24,11,6,QN04302AB,BETWEEN 193 ST & 194 ST,40.730169,-73.777227,Cunningham Park,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.76699862791554 40.712991735201356),4,Queens,412,27,29,14,5,QN04430AB,BETWEEN 193 ST & 195 ST,40.713,-73.767,Hollis,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.90495257448984 40.862942710566784),2,Bronx,207,14,78,33,13,BX0069AB,BETWEEN 194 ST & FORDHAM RD,40.862951,-73.904954,University Heights (North)-Fordham,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.75649863219805 40.69319173867822),4,Queens,412,27,29,14,5,QN04405AB,BETWEEN 196 ST & 195 ST,40.6932,-73.7565,St. Albans,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.783520620492 40.757665726599974),4,Queens,411,19,26,11,6,QN0635AB,BETWEEN 196 ST & FRANCIS LEWIS,40.757674,-73.783522,Auburndale,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.7581046321199 40.69918773771369),4,Queens,412,27,33,14,5,QN04631AB,BETWEEN 197 ST & 196 ST,40.699196,-73.758106,St. Albans,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.77237162555843 40.73122873165865),4,Queens,408,23,24,11,6,QN04203AB,BETWEEN 197 ST & 199 ST,40.731237,-73.772373,Cunningham Park,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.7546986330298 40.69384173870242),4,Queens,412,27,29,14,5,QN04419AB,BETWEEN 198 ST & 197 ST,40.69385,-73.7547,St. Albans,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.94503056712485 40.78434872733208),1,Manhattan,111,8,68,29,13,MN01023AB,BETWEEN 1ST & 2ND AV,40.784357,-73.945032,East Harlem (South),AE,,2
POINT (-73.97904655831393 40.737219737856385),1,Manhattan,106,2,74,27,12,MN0045AB,BETWEEN 1ST AV & 2ND AV,40.737228,-73.979048,Gramercy,X,AREA OF MINIMAL FLOOD HAZARD,4
POINT (-73.97051356032416 40.74920973478614),1,Manhattan,106,4,74,28,12,MN0052AB,BETWEEN 1ST AV & 2ND AV,40.749218,-73.970515,Murray Hill-Kips Bay,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.96699856111542 40.75349173396184),1,Manhattan,106,4,73,28,12,MN0058AB,BETWEEN 1ST AV & 2ND AV,40.7535,-73.967,East Midtown-Turtle Bay,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.9403985679266 40.789891726511485),1,Manhattan,111,8,68,29,13,MN01347AB,BETWEEN 1ST AV & 2ND AV,40.7899,-73.9404,East Harlem (South),X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,3
POINT (-73.97811855900285 40.73662173804481),1,Manhattan,106,4,74,27,12,MN01133AB,BETWEEN 1ST AV & AVE C,40.73663,-73.97812,Stuyvesant Town-Peter Cooper Village,X,AREA OF MINIMAL FLOOD HAZARD,3
POINT (-73.82449860541259 40.7818917235378),4,Queens,407,19,26,11,3,QN04553AB,BETWEEN 20 AV & 14 AV,40.7819,-73.8245,Whitestone-Beechhurst,X,AREA OF MINIMAL FLOOD HAZARD,3
POINT (-73.90179858091773 40.77629172794252),4,Queens,401,22,36,13,14,QN0011AB,BETWEEN 20 RD & 20 AV,40.7763,-73.9018,Astoria (North)-Ditmars-Steinway,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.90326858118915 40.77524172761473),4,Queens,401,22,36,13,14,QN0055AB,BETWEEN 20 RD & 21 AV,40.77525,-73.90327,Astoria (North)-Ditmars-Steinway,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.99725055295417 40.74209573752174),1,Manhattan,104,3,75,27,12,MN01287AB,BETWEEN 20 ST & 19 ST,40.742104,-73.997252,Chelsea-Hudson Yards,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.75297663407244 40.69432373813874),4,Queens,412,27,33,14,5,QN04496AB,BETWEEN 200 ST & 199 ST,40.694332,-73.752978,St. Albans,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.75699863161742 40.70619173616678),4,Queens,412,27,33,14,5,QN04219AB,BETWEEN 201 ST & 200 AV,40.7062,-73.757,Hollis,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.75146063443762 40.69457973826673),4,Queens,412,27,33,14,5,QN04410AB,BETWEEN 201 ST & 201 PL,40.694588,-73.751462,St. Albans,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.76206062961136 40.71982473397561),4,Queens,412,23,29,14,5,QN04628AB,BETWEEN 201 ST & 202 ST,40.719833,-73.762062,Hollis,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.78309061978007 40.75784072656341),4,Queens,411,19,26,11,6,QN04167AB,BETWEEN 201 ST & FRANCIS LEWIS,40.757849,-73.783092,Auburndale,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.88259858169134 40.872091708451855),2,Bronx,207,11,78,36,13,BX03078AB,BETWEEN 201 ST & MOSHOLU PKY S,40.8721,-73.8826,Bedford Park,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.76229962969377 40.719975734010475),4,Queens,408,23,24,14,5,QN04364AB,BETWEEN 202 ST & 202 ST,40.719984,-73.762301,Jamaica Estates-Holliswood,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.88695358012504 40.8743437082302),2,Bronx,207,11,78,34,13,BX03318AB,BETWEEN 204 ST & 203 ST,40.874352,-73.886955,Bedford Park,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.87649858393803 40.87129170786516),2,Bronx,207,11,80,36,13,BX9020AB,BETWEEN 204 ST & 205 ST,40.8713,-73.8765,Norwood,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.87934158281583 40.87481870748536),2,Bronx,207,11,80,36,13,BX0352AB,BETWEEN 204 ST & 206 ST,40.874827,-73.879343,Norwood,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.8794985817949 40.87349170791653),2,Bronx,207,11,80,36,13,BX03051AB,BETWEEN 204 ST & ROCHAM BEAU,40.8735,-73.8795,Norwood,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.89159857790527 40.87479170771054),2,Bronx,207,11,81,34,13,BX03423AB,BETWEEN 205 ST & BEDFORD PK,40.8748,-73.8916,Bedford Park,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.89009857845723 40.876691707759626),2,Bronx,207,11,81,34,13,BX03424AB,BETWEEN 205 ST & BEDFORD PK,40.8767,-73.8901,Bedford Park,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.75993362939076 40.72067273338024),4,Queens,412,23,33,14,5,QN04763AB,BETWEEN 205 ST & FRANCIS LEWIS,40.720681,-73.759935,Hollis,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.75949863014942 40.720791733344136),4,Queens,412,23,33,14,5,QN04818AB,BETWEEN 205 ST & FRANCIS LEWIS,40.7208,-73.7595,Hollis,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.7768986226074 40.75849172705359),4,Queens,411,19,26,11,6,QN0633AB,BETWEEN 207 ST & CLEARVIEW EXW,40.7585,-73.7769,Bayside,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.78709161730141 40.788981720867945),4,Queens,407,19,26,11,3,QN04624AB,BETWEEN 208 LN & ESTATES LN,40.78899,-73.787093,Bay Terrace-Clearview,X,AREA OF MINIMAL FLOOD HAZARD,3
POINT (-73.7935716153671 40.77890672358212),4,Queens,407,19,26,11,3,QN04684AB,BETWEEN 21 AV & 20 AV,40.778915,-73.793573,Bay Terrace-Clearview,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.7936146161936 40.77757772319267),4,Queens,407,19,26,11,3,QN0315AB,BETWEEN 21 RD & 22 AV,40.777586,-73.793616,Bay Terrace-Clearview,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.9296155723494 40.77079972941623),4,Queens,401,22,36,12,12,QN04465AB,BETWEEN 21 ST & 14 ST,40.770808,-73.929617,Old Astoria-Hallets Point,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,3
POINT (-73.94333556940886 40.751649733669794),4,Queens,402,26,37,12,12,QN04519AB,BETWEEN 21 ST & 22 ST,40.751658,-73.943337,Long Island City-Hunters Point,X,AREA OF MINIMAL FLOOD HAZARD,4
POINT (-73.87919858234181 40.87939170696149),2,Bronx,207,11,81,36,13,BX03130AB,BETWEEN 210 ST & 209 ST,40.8794,-73.8792,Norwood,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.75079263289618 40.714906733996635),4,Queens,413,23,33,14,5,QN04275AB,BETWEEN 210 ST & 209 ST,40.714915,-73.750794,Queens Village,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.76419862705443 40.739091729807036),4,Queens,408,23,25,16,6,QN0691AB,BETWEEN 210 ST & CLEARVIEW EXW,40.7391,-73.7642,Cunningham Park,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.87876858227806 40.87991670600237),2,Bronx,207,11,81,36,13,BX03314AB,BETWEEN 210 ST & GUNHILL,40.879925,-73.87877,Norwood,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.87874858261551 40.87997470611833),2,Bronx,207,11,81,36,13,BX03315AB,BETWEEN 210 ST & GUNHILL,40.879983,-73.87875,Norwood,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.74709863424256 40.708891735470615),4,Queens,413,27,33,14,5,QN04823AB,BETWEEN 211 ST & 209 ST,40.7089,-73.7471,Queens Village,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.75621363057778 40.72347573274933),4,Queens,408,23,33,14,5,QN04084AB,BETWEEN 211 ST & 210 ST,40.723484,-73.756215,Jamaica Estates-Holliswood,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.78277861868123 40.778920723030176),4,Queens,407,19,26,11,3,QN0357AB,BETWEEN 211 ST & CORP. KENNEDY,40.778929,-73.78278,Bay Terrace-Clearview,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.75470363136724 40.724469732790325),4,Queens,408,23,33,14,5,QN04221AB,BETWEEN 212 ST & HOLLIS CT,40.724478,-73.754705,Queens Village,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.78279861832694 40.78889172131285),4,Queens,407,19,26,11,3,QN04643AB,BETWEEN 212 STT & 209 AV,40.7889,-73.7828,Bay Terrace-Clearview,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,3
POINT (-73.7674986258165 40.755491727288764),4,Queens,411,23,25,11,6,QN04266AB,BETWEEN 213 ST & BELL BLVD,40.7555,-73.7675,Bayside,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.87770858214326 40.886787705124995),2,Bronx,212,11,81,34,16,BX03187AB,BETWEEN 213 ST & JEROME AV,40.886796,-73.87771,Woodlawn Cemetery,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.76915562499792 40.760391726333154),4,Queens,411,19,26,11,6,QN0632AB,BETWEEN 214 ST & BELL BLVD,40.7604,-73.769157,Bayside,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.73921663680458 40.717561733120995),4,Queens,413,23,33,14,5,QN04180AB,BETWEEN 216 ST & 215 PL,40.71757,-73.739218,Queens Village,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.74301963656768 40.69612573735633),4,Queens,413,27,33,14,5,QN0827AB,BETWEEN 217 ST & SPRINGFIELD B,40.696134,-73.743021,Cambria Heights,X,AREA OF MINIMAL FLOOD HAZARD,
